Score,CA-0,CA-1,CA-2,CA-3
50,99,99,99,98
49,99,99,97,96
48,99,99,95,95
47,99,98,94,93
46,99,97,92,90
45,99,96,89,86
44,99,94,85,82
43,99,93,81,77
42,99,91,76,72
41,99,88,70,65
40,99,85,64,58
39,99,80,54,49
38,98,74,45,40
37,98,69,39,34
36,97,63,31,27
35,96,56,25,21
34,95,50,20,16
33,94,43,16,12
32,92,36,12,9
31,90,28,8,6
30,88,22,5,4
29,85,18,4,2
28,82,14,2,1
27,78,11,2,1
26,74,8,1,1
25,68,6,1,1
24,61,4,1,1
23,54,3,1,1
22,45,2,1,1
21,38,1,1,1
20,32,1,1,1
19,25,1,1,1
18,18,1,1,1
17,13,1,1,1
16,8,1,1,1
15,5,1,1,1
14,3,1,1,1
13,2,1,1,1
12,1,1,1,1
11,1,1,1,1
10,1,1,1,1
9,1,1,1,1
8,1,1,1,1
7,1,1,1,1
6,1,1,1,1
5,1,1,1,1
4,1,1,1,1
3,1,1,1,1
2,1,1,1,1
1,1,1,1,1
