Score,CA-0,CA-1,CA-2,CA-3
50,99,99,98,97
49,99,99,95,94
48,99,98,94,92
47,99,97,92,90
46,99,96,90,87
45,99,95,88,84
44,99,93,84,80
43,99,91,80,75
42,99,89,75,69
41,99,86,70,62
40,99,82,62,55
39,99,77,53,47
38,99,73,47,40
37,99,68,41,34
36,98,61,34,28
35,97,53,27,21
34,96,47,21,17
33,96,40,17,13
32,95,33,13,10
31,94,28,9,8
30,92,23,6,6
29,90,18,4,4
28,86,14,3,3
27,82,10,2,2
26,78,7,1,1
25,74,5,1,1
24,68,4,1,1
23,60,2,1,1
22,52,2,1,1
21,42,1,1,1
20,33,1,1,1
19,25,1,1,1
18,18,1,1,1
17,11,1,1,1
16,7,1,1,1
15,5,1,1,1
14,3,1,1,1
13,1,1,1,1
12,1,1,1,1
11,1,1,1,1
10,1,1,1,1
9,1,1,1,1
8,1,1,1,1
7,1,1,1,1
6,1,1,1,1
5,1,1,1,1
4,1,1,1,1
3,1,1,1,1
2,1,1,1,1
1,1,1,1,1
